isaj	524	5.207067899072317E-5
kkhūh	511	5.077884916843424E-5
ṃnūn	500	4.968576239572822E-5
isah	227	2.255733612766061E-5
samph	1308	1.29977954427225E-4
isag	44	4.372347090824083E-6
vaga	35	3.4780033677009753E-6
isan	1156	1.1487348265892363E-4
isam	3606	3.583337183979919E-4
isal	581	5.773485590383619E-5
isak	221	2.1961106978911873E-5
isar	101	1.0036524003937099E-5
ḍuṃ*	5	4.968576239572822E-7
kkhūp	30	2.981145743743693E-6
isap	459	4.5611529879278504E-5
īcīt	5	4.968576239572822E-7
isav	100	9.937152479145643E-6
enobh	10	9.937152479145644E-7
vagg	866	8.605574046940128E-5
isat	1266	1.2580435038598385E-4
kkhūn	1461	1.4518179772031784E-4
isas	631	6.270343214340901E-5
iñcī	127	1.2620183648514967E-5
āova	9	8.943437231231079E-7
abhim	37	3.676746417283888E-6
abhil	35	3.4780033677009753E-6
abhik	1368	1.359402459147124E-4
abhij	1199	1.1914645822495627E-4
vabr	4	3.9748609916582574E-7
muda	1901	1.8890526862855867E-4
abhip	161	1.5998815491424485E-5
abhin	2151	2.137481498264228E-4
mude	22	2.1861735454120417E-6
mudd	673	6.687703618465018E-5
abhid	18	1.7886874462462159E-6
vabi	2	1.9874304958291287E-7
abhic	2	1.9874304958291287E-7
abhib	3	2.981145743743693E-7
mudi	325	3.229574555722334E-5
vibha	950	9.440294855188361E-5
mpā*	25	2.4842881197864107E-6
abhih	82	8.148465032899428E-6
abhig	8	7.949721983316515E-7
vibho	13	1.2918298222889336E-6
vaba	15	1.4905728718718465E-6
mudo	4	3.9748609916582574E-7
essa	1932	1.9198578589709383E-4
abhit	192	1.9079332759959634E-5
kkom	118	1.1725839925391859E-5
kkon	45	4.47171861561554E-6
mudu	299	2.9712085912645473E-5
abhir	640	6.359777586653212E-5
kkol	3	2.981145743743693E-7
abhis	1454	1.4448619704677764E-4
abhiy	63	6.260406061861755E-6
abhiv	1842	1.8304234866586274E-4
kkoh	2	1.9874304958291287E-7
vaap	2	1.9874304958291287E-7
vaat	1	9.937152479145643E-8
iñca	1372	1.3633773201387822E-4
aṇūp	10	9.937152479145644E-7
muca	9	8.943437231231079E-7
vaar	1	9.937152479145643E-8
vaas	1	9.937152479145643E-8
iñce	146	1.450824261955264E-5
mucc	1342	1.3335658627013455E-4
muci	5	4.968576239572822E-7
iñci	1020	1.0135895528728556E-4
vaam	9	8.943437231231079E-7
ighūp	3	2.981145743743693E-7
ṭādhā	4	3.9748609916582574E-7
kkhāṭh	3	2.981145743743693E-7
emīt	30	2.981145743743693E-6
aṇuṃ	4	3.9748609916582574E-7
vadu	286	2.842025609035654E-5
vadv	4	3.9748609916582574E-7
mpād	430	4.272975566032627E-5
īṭhaṃ	192	1.9079332759959634E-5
ikaḍ	27	2.6830311693693236E-6
abhi*	14	1.39120134708039E-6
mpāk	6	5.962291487487386E-7
mpāj	3	2.981145743743693E-7
ūseth	3	2.981145743743693E-7
vado	17	1.6893159214547594E-6
vadi	235	2.3352308325992263E-5
yaabh	1	9.937152479145643E-8
mpāh	135	1.3415155846846619E-5
mpār	1	9.937152479145643E-8
vade	2051	2.0381099734727715E-4
mpāt	25	2.4842881197864107E-6
mpān	21	2.0868020206205852E-6
vada	2167	2.153380942230861E-4
vadd	2	1.9874304958291287E-7
mpāp	32	3.179888793326606E-6
ṅgabh	2	1.9874304958291287E-7
mpāv	33	3.2792603181180623E-6
mpāy	167	1.6595044640173224E-5
kkop	12	1.192458297497477E-6
esom	1	9.937152479145643E-8
vacu	23	2.285545070203498E-6
esop	11	1.0930867727060209E-6
kkot	119	1.1825211450183315E-5
kkos	429	4.263038413553481E-5
vaco	40	3.9748609916582576E-6
emī*	129	1.281892669809788E-5
esoh	352	3.497877672659267E-5
vaci	26	2.583659644577867E-6
vace	11	1.0930867727060209E-6
vacc	214	2.1265506305371676E-5
esoy	1	9.937152479145643E-8
