ṭya	3	2.5813150819442774E-7
jiy	150	1.2906575409721388E-5
ṭhīh	14	1.2046137049073294E-6
tūr	16	1.376701377036948E-6
ṭhīk	1	8.604383606480924E-8
tūp	432	3.717093717999759E-5
jiv	962	8.27741702943465E-5
tūn	126	1.0841523344165965E-5
jit	3677	3.1638318521030363E-4
jis	704	6.057486058962571E-5
tūl	51	4.3882356393052715E-6
jir	33	2.839446590138705E-6
bhaṭ	147	1.264844390152696E-5
jip	107	9.20669045893459E-6
tūh	754	6.487705239286618E-5
jim	51	4.3882356393052715E-6
jin	307	2.641545767189644E-5
jik	1110	9.550865803193827E-5
jig	182	1.5659978163795283E-5
biṭ	1	8.604383606480924E-8
jic	7	6.023068524536647E-7
jju	169	1.4541408294952764E-5
jjo	515	4.4312575573376766E-5
bhaṇ	2086	1.794874420311921E-4
mukh	2290	1.9704038458841317E-4
jji	2425	2.0865630245716244E-4
bhaṅ	226	1.944590695064689E-5
bhaṃ	773	6.651188527809755E-5
tuṅ	1	8.604383606480924E-8
jje	1854	1.5952527206415635E-4
tuṇ	715	6.152134278633862E-5
rogh	2	1.720876721296185E-7
jja	13897	0.0011957511897926541
tuṃ	3425	2.947001385219717E-4
vīp	8	6.88350688518474E-7
vīm	401	3.450357826198851E-5
ṭhī*	118	1.015317265564749E-5
vīn	24	2.065052065555422E-6
ghādh	5	4.3021918032404626E-7
vīs	673	5.790750167161662E-5
vīt	1162	9.998293750730835E-5
vīr	1519	1.3070058698244524E-4
vīg	1	8.604383606480924E-8
tū*	415	3.570819196689584E-5
vīh	511	4.3968400229117524E-5
vīk	42	3.6138411147219883E-6
vīj	1	8.604383606480924E-8
kkhi	5477	4.7126209012696027E-4
vīc	16	1.376701377036948E-6
kkho	1568	1.349167349496209E-4
kkhu	22613	0.0019457092649335316
ūas	1	8.604383606480924E-8
īñā	1	8.604383606480924E-8
rodh	4679	4.0259910894724246E-4
iadh	2	1.720876721296185E-7
vakh	7	6.023068524536647E-7
kkha	44928	0.00386577746671975
kkhe	2982	2.565827191452612E-4
tuḍ	1	8.604383606480924E-8
vīv	6	5.162630163888555E-7
vīy	19	1.6348328852313757E-6
itr	30	2.5813150819442776E-6
inī	1699	1.4618847747411093E-4
ito	6284	5.406994658312613E-4
itv	11089	9.541400981226697E-4
itu	2145	1.8456402835901584E-4
itt	16380	0.0014093980347415756
ilū	5	4.3021918032404626E-7
ñjha	6	5.162630163888555E-7
ipā	4846	4.1696842957006565E-4
iud	2	1.720876721296185E-7
eñj	206	1.7725030229350704E-5
bhuṭ	5	4.3021918032404626E-7
ñjho	31	2.667358918009087E-6
ism	985	8.47531785238371E-5
aūm	13	1.1185698688425203E-6
auḷ	1	8.604383606480924E-8
iso	3309	2.847190535384538E-4
isn	15	1.2906575409721388E-6
imī	20	1.720876721296185E-6
ikū	413	3.553610429476622E-5
iss	21161	0.0018207736149674285
isu	2865	2.465155903256785E-4
suṭ	66	5.67889318027741E-6
isv	1075	9.249712376966995E-5
ṭud	2	1.720876721296185E-7
ita	21813	0.0018768741960816843
ite	2921	2.513340451453078E-4
ṃghe	1	8.604383606480924E-8
iti	4768	4.102570103570105E-4
ṭup	6	5.162630163888555E-7
suṇ	1614	1.3887475140860213E-4
ipī	160	1.376701377036948E-5
suṅ	28	2.409227409814659E-6
ivo	33	2.839446590138705E-6
āobh	6	5.162630163888555E-7
ṭuv	7	6.023068524536647E-7
suṃ	2752	2.3679263685035505E-4
sūy	21	1.8069205573609942E-6
meth	316	2.718985219647972E-5
ṭuk	203	1.7466898721156277E-5
ṭul	3	2.5813150819442774E-7
ṭum	63	5.420761672082983E-6
ivu	335	2.8824685081711098E-5
vīth	44	3.785928786851607E-6
irā	2000	1.720876721296185E-4
iup	14	1.2046137049073294E-6
imū	33	2.839446590138705E-6
bhūj	4	3.44175344259237E-7
bhūh	1	8.604383606480924E-8
sūd	16	1.376701377036948E-6
bhūs	82	7.055594557314359E-6
kūṭ	522	4.491488242583043E-5
bhūt	4751	4.0879426514390876E-4
bhūr	74	6.367243868795884E-6
sūa	1	8.604383606480924E-8
bhūp	4	3.44175344259237E-7
bhūm	840	7.227682229443977E-5
sūc	121	1.0411304163841919E-5
bhūn	11	9.464821967129017E-7
iva	4971	4.2772390907816677E-4
suḷ	11	9.464821967129017E-7
sūl	56	4.818454819629318E-6
bhuṃ	22	1.8929643934258035E-6
sūn	47	4.044060295046035E-6
sūh	10	8.604383606480925E-7
sūk	183	1.5746021999860092E-5
ivi	5268	4.5327892838941514E-4
sūt	140	1.2046137049073295E-5
ive	2554	2.1975595730952283E-4
sūp	413	3.553610429476622E-5
sūs	62	5.334717836018174E-6
bhuṇ	42	3.6138411147219883E-6
ivh	963	8.286021413041131E-5
sūr	393	3.381522757347004E-5
ijī	1	8.604383606480924E-8
ipo	19	1.6348328852313757E-6
ipp	3940	3.390127140953484E-4
ipu	4162	3.581144457017361E-4
ipi	3071	2.642406205550292E-4
ṭop	5	4.3021918032404626E-7
ṭol	2	1.720876721296185E-7
